food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
"Amaranth seed, black (Amaranthus cruentus)",Cereals and millets,14.59,356.12,433.0,374.0,2.7,Avoid,Vegetarian,74.10499999999999
"Amaranth seed, pale brown (Amaranthus cruentus)",Cereals and millets,13.27,355.88,413.0,412.0,2.81,Avoid,Vegetarian,71.8795
Bajra (Pennisetum typhoideum),Cereals and millets,10.96,347.99,365.0,289.0,4.11,Avoid,Vegetarian,78.05449999999999
Barley (Hordeum vulgare),Cereals and millets,10.94,315.73,268.0,178.0,7.56,Moderate,Vegetarian,88.26199999999999
Jowar (Sorghum vulgare),Cereals and millets,9.97,334.13,328.0,274.0,5.42,Avoid,Vegetarian,79.59899999999999
"Maize, dry (Zea mays)",Cereals and millets,8.8,334.13,291.0,279.0,4.44,Avoid,Vegetarian,80.078
"Maize, tender, local (Zea mays)",Cereals and millets,3.57,119.98,167.0,163.0,2.24,Moderate,Vegetarian,86.958
"Maize, tender, sweet (Zea mays)",Cereals and millets,4.16,96.8,297.0,121.0,2.23,Moderate,Vegetarian,83.1485
Quinoa (Chenopodium quinoa),Cereals and millets,13.11,328.39,474.0,212.0,4.5,Avoid,Vegetarian,78.585
Ragi (Eleusine coracana),Cereals and millets,7.16,320.75,443.0,210.0,4.75,Avoid,Vegetarian,74.2725
Rice flakes (poha) (Oryza sativa),Cereals and millets,7.44,353.73,148.0,195.0,2.58,Moderate,Vegetarian,90.16099999999999
Rice puffed (Oryza sativa),Cereals and millets,7.47,361.85,140.0,152.0,3.69,Moderate,Vegetarian,92.6855
"Rice, raw, brown (Oryza sativa)",Cereals and millets,9.16,353.73,199.0,267.0,3.64,Avoid,Vegetarian,85.67799999999998
"Rice, parboiled, milled (Oryza sativa)",Cereals and millets,7.81,351.58,142.0,140.0,3.16,Safe,Vegetarian,93.552
"Rice, raw, milled (Oryza sativa)",Cereals and millets,7.94,356.36,108.0,96.0,2.34,Safe,Vegetarian,97.62299999999999
Samai (Panicum miliare),Cereals and millets,10.13,346.32,105.0,130.0,4.77,Safe,Vegetarian,98.1415
Varagu (Paspalum scrobiculatum),Cereals and millets,8.92,331.74,94.0,101.0,3.35,Safe,Vegetarian,99.0025
"Wheat flour, refined (Triticum aestivum)",Cereals and millets,10.36,351.82,148.0,110.0,1.54,Safe,Vegetarian,97.383
"Wheat flour, atta (roti/chapati flour) (Triticum aestivum)",Cereals and millets,10.57,320.27,311.0,315.0,2.04,Avoid,Vegetarian,79.168
"Wheat, whole (Triticum aestivum)",Cereals and millets,10.59,321.94,366.0,315.0,2.5,Avoid,Vegetarian,76.415
"Wheat, bulgur (Triticum aestivum)",Cereals and millets,10.84,341.78,330.0,245.0,2.09,Moderate,Vegetarian,81.9855
"Wheat, semolina (sooji/rava; upma base) (Triticum aestivum)",Cereals and millets,11.38,333.65,284.0,119.0,2.31,Moderate,Vegetarian,91.11449999999999
"Wheat, vermicelli (Triticum aestivum)",Cereals and millets,9.7,332.7,163.0,99.0,2.71,Safe,Vegetarian,96.4645
"Wheat, vermicelli, roasted (Triticum aestivum)",Cereals and millets,10.37,340.11,177.0,107.0,3.43,Safe,Vegetarian,95.99850000000002
"Bengal gram, dal (Cicer arietinum)",Grain legumes,21.55,329.11,957.0,325.0,20.83,Avoid,Vegetarian,56.408500000000004
"Bengal gram, whole (Cicer arietinum)",Grain legumes,18.77,287.05,935.0,267.0,26.56,Avoid,Vegetarian,57.342
"Black gram, dal (Phaseolus mungo)",Grain legumes,23.06,324.09,1157.0,375.0,18.88,Avoid,Vegetarian,45.516
"Black gram, whole (Phaseolus mungo)",Grain legumes,21.97,291.35,1093.0,345.0,26.8,Avoid,Vegetarian,48.72999999999999
"Cowpea, brown (Vigna catjang)",Grain legumes,20.36,320.27,1241.0,372.0,13.68,Avoid,Vegetarian,39.025999999999996
"Cowpea, white (Vigna catjang)",Grain legumes,21.25,320.27,1243.0,378.0,12.52,Avoid,Vegetarian,39.57399999999999
"Field bean, black (Phaseolus vulgaris)",Grain legumes,19.93,276.05,1272.0,457.0,1.35,Avoid,Vegetarian,33.412499999999994
"Field bean, brown (Phaseolus vulgaris)",Grain legumes,19.9,282.98,1245.0,429.0,1.41,Avoid,Vegetarian,36.12949999999999
"Field bean, white (Phaseolus vulgaris)",Grain legumes,19.84,280.35,1360.0,448.0,1.7,Avoid,Vegetarian,29.354999999999997
"Green gram, dal (Vigna radiata)",Grain legumes,23.88,325.76,1268.0,416.0,10.14,Avoid,Vegetarian,39.172999999999995
"Green gram, whole (Vigna radiata)",Grain legumes,22.53,293.74,1177.0,353.0,12.48,Avoid,Vegetarian,45.406
"Horse gram, whole (Dolichos biflorus)",Grain legumes,21.73,329.59,1065.0,298.0,12.14,Avoid,Vegetarian,52.973
Lentil dal (Lens culinaris),Grain legumes,24.35,322.42,786.0,310.0,10.27,Avoid,Vegetarian,69.03649999999999
"Lentil whole, brown (Lens culinaris)",Grain legumes,22.49,299.0,756.0,274.0,11.2,Avoid,Vegetarian,70.42999999999999
"Lentil whole, yellowish (Lens culinaris)",Grain legumes,22.87,297.8,764.0,261.0,10.87,Avoid,Vegetarian,71.0765
Moth bean (Vigna aconitifolia),Grain legumes,19.75,308.56,1356.0,362.0,26.34,Avoid,Vegetarian,32.533
"Peas, dry (Pisum sativum)",Grain legumes,20.43,303.3,922.0,334.0,23.4,Avoid,Vegetarian,56.46
"Rajmah, black (Phaseolus vulgaris)",Grain legumes,19.01,298.04,1362.0,386.0,9.4,Avoid,Vegetarian,31.139999999999993
"Rajmah, brown (Phaseolus vulgaris)",Grain legumes,19.5,297.56,1366.0,396.0,10.47,Avoid,Vegetarian,30.8765
"Rajmah, red (Phaseolus vulgaris)",Grain legumes,19.91,299.24,1324.0,409.0,10.45,Avoid,Vegetarian,32.7375
"Red gram, dal (Cajanus cajan)",Grain legumes,21.7,330.78,1395.0,328.0,18.01,Avoid,Vegetarian,34.649499999999996
"Red gram, whole (Cajanus cajan)",Grain legumes,20.47,273.9,1303.0,312.0,19.03,Avoid,Vegetarian,38.76849999999999
Ricebean (Vigna umbellata),Grain legumes,19.97,302.34,1196.0,270.0,10.62,Avoid,Vegetarian,46.138999999999996
"Soybean, brown (Glycine max)",Grain legumes,35.58,381.45,1613.0,483.0,2.07,Avoid,Vegetarian,30.67649999999999
"Soybean, white (Glycine max)",Grain legumes,37.8,377.39,1634.0,494.0,2.83,Avoid,Vegetarian,31.25849999999999
Agathi leaves (Sesbania grandiflora),Green leafy vegetables,8.01,70.51,674.0,52.52,18.12,Avoid,Vegetarian,70.778
"Amaranth leaves, green (Amaranthus gangeticus)",Green leafy vegetables,3.29,30.59,572.0,73.22,16.08,Avoid,Vegetarian,70.22500000000001
"Amaranth leaves, red (Amaranthus gangeticus)",Green leafy vegetables,3.93,33.46,564.0,75.98,14.58,Avoid,Vegetarian,71.202
"Amaranth leaves, red and green mix (Amaranthus gangeticus)",Green leafy vegetables,3.09,31.55,597.0,68.23,17.55,Avoid,Vegetarian,68.95100000000001
"Amaranth spined, leaves, green (Amaranthus spinosus)",Green leafy vegetables,3.54,26.29,569.0,72.46,15.66,Avoid,Vegetarian,70.684
"Amaranth spined, leaves, red and green mix (Amaranthus spinosus)",Green leafy vegetables,2.8,23.66,588.0,85.02,16.27,Avoid,Vegetarian,68.33549999999998
Basella leaves (Basella alba),Green leafy vegetables,1.57,19.6,337.0,37.26,18.74,Moderate,Vegetarian,81.92
