food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg
"Amaranth seed, black (Amaranthus cruentus)",Cereals and millets,14.59,356.12,433,374,2.7
"Amaranth seed, pale brown (Amaranthus cruentus)",Cereals and millets,13.27,355.88,413,412,2.81
Bajra (Pennisetum typhoideum),Cereals and millets,10.96,347.99,365,289,4.11
Barley (Hordeum vulgare),Cereals and millets,10.94,315.73,268,178,7.56
Jowar (Sorghum vulgare),Cereals and millets,9.97,334.13,328,274,5.42
"Maize, dry (Zea mays)",Cereals and millets,8.8,334.13,291,279,4.44
"Maize, tender, local (Zea mays)",Cereals and millets,3.57,119.98,167,163,2.24
"Maize, tender, sweet (Zea mays)",Cereals and millets,4.16,96.8,297,121,2.23
Quinoa (Chenopodium quinoa),Cereals and millets,13.11,328.39,474,212,4.5
Ragi (Eleusine coracana),Cereals and millets,7.16,320.75,443,210,4.75
Rice flakes (poha) (Oryza sativa),Cereals and millets,7.44,353.73,148,195,2.58
Rice puffed (Oryza sativa),Cereals and millets,7.47,361.85,140,152,3.69
"Rice, raw, brown (Oryza sativa)",Cereals and millets,9.16,353.73,199,267,3.64
"Rice, parboiled, milled (Oryza sativa)",Cereals and millets,7.81,351.58,142,140,3.16
"Rice, raw, milled (Oryza sativa)",Cereals and millets,7.94,356.36,108,96,2.34
Samai (Panicum miliare),Cereals and millets,10.13,346.32,105,130,4.77
Varagu (Paspalum scrobiculatum),Cereals and millets,8.92,331.74,94,101,3.35
"Wheat flour, refined (Triticum aestivum)",Cereals and millets,10.36,351.82,148,110,1.54
"Wheat flour, atta (roti/chapati flour) (Triticum aestivum)",Cereals and millets,10.57,320.27,311,315,2.04
"Wheat, whole (Triticum aestivum)",Cereals and millets,10.59,321.94,366,315,2.5
"Wheat, bulgur (Triticum aestivum)",Cereals and millets,10.84,341.78,330,245,2.09
"Wheat, semolina (sooji/rava; upma base) (Triticum aestivum)",Cereals and millets,11.38,333.65,284,119,2.31
"Wheat, vermicelli (Triticum aestivum)",Cereals and millets,9.7,332.7,163,99,2.71
"Wheat, vermicelli, roasted (Triticum aestivum)",Cereals and millets,10.37,340.11,177,107,3.43
"Bengal gram, dal (Cicer arietinum)",Grain legumes,21.55,329.11,957,325,20.83
"Bengal gram, whole (Cicer arietinum)",Grain legumes,18.77,287.05,935,267,26.56
"Black gram, dal (Phaseolus mungo)",Grain legumes,23.06,324.09,1157,375,18.88
"Black gram, whole (Phaseolus mungo)",Grain legumes,21.97,291.35,1093,345,26.8
"Cowpea, brown (Vigna catjang)",Grain legumes,20.36,320.27,1241,372,13.68
"Cowpea, white (Vigna catjang)",Grain legumes,21.25,320.27,1243,378,12.52
"Field bean, black (Phaseolus vulgaris)",Grain legumes,19.93,276.05,1272,457,1.35
"Field bean, brown (Phaseolus vulgaris)",Grain legumes,19.9,282.98,1245,429,1.41
"Field bean, white (Phaseolus vulgaris)",Grain legumes,19.84,280.35,1360,448,1.7
"Green gram, dal (Vigna radiata)",Grain legumes,23.88,325.76,1268,416,10.14
"Green gram, whole (Vigna radiata)",Grain legumes,22.53,293.74,1177,353,12.48
"Horse gram, whole (Dolichos biflorus)",Grain legumes,21.73,329.59,1065,298,12.14
Lentil dal (Lens culinaris),Grain legumes,24.35,322.42,786,310,10.27
"Lentil whole, brown (Lens culinaris)",Grain legumes,22.49,299,756,274,11.2
"Lentil whole, yellowish (Lens culinaris)",Grain legumes,22.87,297.8,764,261,10.87
Moth bean (Vigna aconitifolia),Grain legumes,19.75,308.56,1356,362,26.34
"Peas, dry (Pisum sativum)",Grain legumes,20.43,303.3,922,334,23.4
"Rajmah, black (Phaseolus vulgaris)",Grain legumes,19.01,298.04,1362,386,9.4
"Rajmah, brown (Phaseolus vulgaris)",Grain legumes,19.5,297.56,1366,396,10.47
"Rajmah, red (Phaseolus vulgaris)",Grain legumes,19.91,299.24,1324,409,10.45
"Red gram, dal (Cajanus cajan)",Grain legumes,21.7,330.78,1395,328,18.01
"Red gram, whole (Cajanus cajan)",Grain legumes,20.47,273.9,1303,312,19.03
Ricebean (Vigna umbellata),Grain legumes,19.97,302.34,1196,270,10.62
"Soybean, brown (Glycine max)",Grain legumes,35.58,381.45,1613,483,2.07
"Soybean, white (Glycine max)",Grain legumes,37.8,377.39,1634,494,2.83
Agathi leaves (Sesbania grandiflora),Green leafy vegetables,8.01,70.51,674,52.52,18.12
"Amaranth leaves, green (Amaranthus gangeticus)",Green leafy vegetables,3.29,30.59,572,73.22,16.08
"Amaranth leaves, red (Amaranthus gangeticus)",Green leafy vegetables,3.93,33.46,564,75.98,14.58
"Amaranth leaves, red and green mix (Amaranthus gangeticus)",Green leafy vegetables,3.09,31.55,597,68.23,17.55
