food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety
"Amaranth seed, black (Amaranthus cruentus)",Cereals and millets,14.59,356.12,433.0,374.0,2.7,Avoid
"Amaranth seed, pale brown (Amaranthus cruentus)",Cereals and millets,13.27,355.88,413.0,412.0,2.81,Avoid
Bajra (Pennisetum typhoideum),Cereals and millets,10.96,347.99,365.0,289.0,4.11,Avoid
Barley (Hordeum vulgare),Cereals and millets,10.94,315.73,268.0,178.0,7.56,Moderate
Jowar (Sorghum vulgare),Cereals and millets,9.97,334.13,328.0,274.0,5.42,Avoid
"Maize, dry (Zea mays)",Cereals and millets,8.8,334.13,291.0,279.0,4.44,Avoid
"Maize, tender, local (Zea mays)",Cereals and millets,3.57,119.98,167.0,163.0,2.24,Moderate
"Maize, tender, sweet (Zea mays)",Cereals and millets,4.16,96.8,297.0,121.0,2.23,Moderate
Quinoa (Chenopodium quinoa),Cereals and millets,13.11,328.39,474.0,212.0,4.5,Avoid
Ragi (Eleusine coracana),Cereals and millets,7.16,320.75,443.0,210.0,4.75,Avoid
Rice flakes (poha) (Oryza sativa),Cereals and millets,7.44,353.73,148.0,195.0,2.58,Moderate
Rice puffed (Oryza sativa),Cereals and millets,7.47,361.85,140.0,152.0,3.69,Moderate
"Rice, raw, brown (Oryza sativa)",Cereals and millets,9.16,353.73,199.0,267.0,3.64,Avoid
"Rice, parboiled, milled (Oryza sativa)",Cereals and millets,7.81,351.58,142.0,140.0,3.16,Safe
"Rice, raw, milled (Oryza sativa)",Cereals and millets,7.94,356.36,108.0,96.0,2.34,Safe
Samai (Panicum miliare),Cereals and millets,10.13,346.32,105.0,130.0,4.77,Safe
Varagu (Paspalum scrobiculatum),Cereals and millets,8.92,331.74,94.0,101.0,3.35,Safe
"Wheat flour, refined (Triticum aestivum)",Cereals and millets,10.36,351.82,148.0,110.0,1.54,Safe
"Wheat flour, atta (roti/chapati flour) (Triticum aestivum)",Cereals and millets,10.57,320.27,311.0,315.0,2.04,Avoid
"Wheat, whole (Triticum aestivum)",Cereals and millets,10.59,321.94,366.0,315.0,2.5,Avoid
"Wheat, bulgur (Triticum aestivum)",Cereals and millets,10.84,341.78,330.0,245.0,2.09,Moderate
"Wheat, semolina (sooji/rava; upma base) (Triticum aestivum)",Cereals and millets,11.38,333.65,284.0,119.0,2.31,Moderate
"Wheat, vermicelli (Triticum aestivum)",Cereals and millets,9.7,332.7,163.0,99.0,2.71,Safe
"Wheat, vermicelli, roasted (Triticum aestivum)",Cereals and millets,10.37,340.11,177.0,107.0,3.43,Safe
