"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"3298314","2705383","","999","WWEIA Category description","Human milk"
"3298313","2705383","","999","WWEIA Category number","9602"
"3298316","2705384","","999","WWEIA Category description","Milk, reduced fat"
"3298315","2705384","","999","WWEIA Category number","1004"
"3318824","2705384","","1002","","Moisture change: 0%"
"3309177","2705385","2","1001","","leche fresca"
"3318825","2705385","","1002","","Moisture change: 0%"
"3298318","2705385","","999","WWEIA Category description","Milk, whole"
"3298317","2705385","","999","WWEIA Category number","1002"
"3298320","2705386","","999","WWEIA Category description","Milk, reduced fat"
"3318826","2705386","","1002","","Moisture change: 0%"
"3298319","2705386","","999","WWEIA Category number","1004"
"3318827","2705387","","1002","","Moisture change: 0%"
"3298322","2705387","","999","WWEIA Category description","Milk, lowfat"
"3298321","2705387","","999","WWEIA Category number","1006"
"3318828","2705388","","1002","","Moisture change: 0%"
"3298323","2705388","","999","WWEIA Category number","1008"
"3298324","2705388","","999","WWEIA Category description","Milk, nonfat"
"3318829","2705389","","1002","","Moisture change: 0%"
"3298325","2705389","","999","WWEIA Category number","1006"
"3298326","2705389","","999","WWEIA Category description","Milk, lowfat"
"3298327","2705390","","999","WWEIA Category number","1008"
"3318830","2705390","","1002","","Moisture change: 0%"
"3298328","2705390","","999","WWEIA Category description","Milk, nonfat"
"3309178","2705391","4","1001","","lactose free milk, NS as to fat content"
"3298330","2705391","","999","WWEIA Category description","Milk, reduced fat"
"3318831","2705391","","1002","","Moisture change: 0%"
"3298329","2705391","","999","WWEIA Category number","1004"
"3298331","2705392","","999","WWEIA Category number","1002"
"3298332","2705392","","999","WWEIA Category description","Milk, whole"
"3318832","2705392","","1002","","Moisture change: 0%"
"3298334","2705393","","999","WWEIA Category description","Milk, whole"
"3318833","2705393","","1002","","Moisture change: 0%"
"3298333","2705393","","999","WWEIA Category number","1002"
"3309180","2705394","5","1001","","all types"
"3309179","2705394","1","1001","","fermented milk drink"
"3298335","2705394","","999","WWEIA Category number","1006"
"3298336","2705394","","999","WWEIA Category description","Milk, lowfat"
"3318834","2705394","","1002","","Moisture change: 0%"
"3318835","2705395","","1002","","Moisture change: 0%"
"3298337","2705395","","999","WWEIA Category number","1002"
"3298338","2705395","","999","WWEIA Category description","Milk, whole"
"3298339","2705396","","999","WWEIA Category number","1008"
"3318836","2705396","","1002","","Moisture change: 0%"
"3309182","2705396","2","1001","","1% fat"
"3309183","2705396","3","1001","","2% fat"
"3309181","2705396","1","1001","","NS as to fat content"
"3298340","2705396","","999","WWEIA Category description","Milk, nonfat"
"3318837","2705397","","1002","","Moisture change: 0%"
"3298341","2705397","","999","WWEIA Category number","1002"
"3309184","2705397","1","1001","","Nido Fortificada"
"3298342","2705397","","999","WWEIA Category description","Milk, whole"
"3318838","2705398","","1002","","Moisture change: 0%"
"3298343","2705398","","999","WWEIA Category number","1002"
