"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"34136169","2705384","301","125","","","","","","",""
"34136178","2705384","319","57","","","","","","",""
"34136185","2705384","337","0","","","","","","",""
"34136218","2705384","628","0.002","","","","","","",""
"34136219","2705384","629","0","","","","","","",""
"34136208","2705384","612","0.204","","","","","","",""
"34136167","2705384","269","4.88","","","","","","",""
"34136180","2705384","321","4","","","","","","",""
"34136160","2705384","204","2.14","","","","","","",""
"34136188","2705384","404","0.057","","","","","","",""
"34136200","2705384","578","0","","","","","","",""
"34136213","2705384","619","0.008","","","","","","",""
"34136212","2705384","618","0.074","","","","","","",""
"34136172","2705384","305","103","","","","","","",""
"34136162","2705384","208","52","","","","","","",""
"34136196","2705384","431","0","","","","","","",""
"34136182","2705384","323","0.03","","","","","","",""
"34136191","2705384","415","0.061","","","","","","",""
"34136190","2705384","406","0.11","","","","","","",""
"34136198","2705384","435","1","","","","","","",""
"34136184","2705384","334","0","","","","","","",""
"34136202","2705384","606","1.249","","","","","","",""
"34136205","2705384","609","0.023","","","","","","",""
"34136175","2705384","309","0.43","","","","","","",""
"34136171","2705384","304","12","","","","","","",""
"34136197","2705384","432","1","","","","","","",""
"34136207","2705384","611","0.065","","","","","","",""
"34136209","2705384","613","0.576","","","","","","",""
"34136163","2705384","221","0","","","","","","",""
"34136222","2705384","645","0.458","","","","","","",""
"34136176","2705384","312","0.001","","","","","","",""
"34136214","2705384","620","0.003","","","","","","",""
"34136194","2705384","421","17.9","","","","","","",""
"34136161","2705384","205","4.83","","","","","","",""
"34136189","2705384","405","0.137","","","","","","",""
"34136181","2705384","322","0","","","","","","",""
"34136195","2705384","430","0.2","","","","","","",""
"34136201","2705384","601","9","","","","","","",""
"34136193","2705384","418","0.56","","","","","","",""
"34136165","2705384","262","0","","","","","","",""
"34136204","2705384","608","0.036","","","","","","",""
"34136215","2705384","621","0","","","","","","",""
"34136159","2705384","203","3.33","","","","","","",""
"34136217","2705384","627","0","","","","","","",""
"34136168","2705384","291","0","","","","","","",""
"34136216","2705384","626","0.032","","","","","","",""
"34136223","2705384","646","0.07","","","","","","",""
"34136221","2705384","631","0.001","","","","","","",""
"34136186","2705384","338","0","","","","","","",""
"34136183","2705384","328","1.1","","","","","","",""
"34136173","2705384","306","156","","","","","","",""
"34136170","2705384","303","0","","","","","","",""
"34136206","2705384","610","0.056","","","","","","",""
"34136164","2705384","255","88.92","","","","","","",""
"34136220","2705384","630","0","","","","","","",""
"34136177","2705384","317","1.9","","","","","","",""
"34136179","2705384","320","58","","","","","","",""
"34136199","2705384","573","0","","","","","","",""
"34136192","2705384","417","1","","","","","","",""
"34136174","2705384","307","39","","","","","","",""
"34136187","2705384","401","0.1","","","","","","",""
"34136166","2705384","263","0","","","","","","",""
"34136210","2705384","614","0.208","","","","","","",""
"34136211","2705384","617","0.465","","","","","","",""
"34136203","2705384","607","0.046","","","","","","",""
"34136233","2705385","291","0","","","","","","",""
"34136260","2705385","430","0.3","","","","","","",""
"34136264","2705385","573","0","","","","","","",""
"34136252","2705385","401","0","","","","","","",""
"34136286","2705385","631","0.002","","","","","","",""
"34136253","2705385","404","0.056","","","","","","",""
"34136236","2705385","304","12","","","","","","",""
"34136226","2705385","205","4.63","","","","","","",""
"34136269","2705385","608","0.054","","","","","","",""
"34136242","2705385","317","1.9","","","","","","",""
"34136248","2705385","328","1.1","","","","","","",""
"34136234","2705385","301","123","","","","","","",""
"34136255","2705385","406","0.105","","","","","","",""
"34136261","2705385","431","0","","","","","","",""
"34136251","2705385","338","0","","","","","","",""
"34136257","2705385","417","0","","","","","","",""
"34136225","2705385","204","3.2","","","","","","",""
"34136237","2705385","305","101","","","","","","",""
"34136265","2705385","578","0","","","","","","",""
"34136272","2705385","611","0.097","","","","","","",""
"34136287","2705385","645","0.688","","","","","","",""
"34136282","2705385","627","0","","","","","","",""
"34136244","2705385","320","32","","","","","","",""
"34136240","2705385","309","0.42","","","","","","",""
"34136275","2705385","614","0.309","","","","","","",""
"34136250","2705385","337","0","","","","","","",""
"34136277","2705385","618","0.115","","","","","","",""
"34136224","2705385","203","3.27","","","","","","",""
"34136262","2705385","432","0","","","","","","",""
"34136246","2705385","322","0","","","","","","",""
"34136280","2705385","621","0","","","","","","",""
"34136267","2705385","606","1.86","","","","","","",""
"34136279","2705385","620","0.004","","","","","","",""
"34136247","2705385","323","0.05","","","","","","",""
"34136245","2705385","321","7","","","","","","",""
"34136230","2705385","262","0","","","","","","",""
"34136271","2705385","610","0.084","","","","","","",""
"34136283","2705385","628","0.004","","","","","","",""
