"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"290506","2705383","1","","9999","1 cup","10205","246.0","","",""
"290507","2705383","2","","9999","Quantity not specified","90000","0.0","","",""
"290508","2705383","3","","9999","1 fl oz","30000","30.8","","",""
"290513","2705384","5","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290511","2705384","3","","9999","1 individual school container","64294","244.0","","",""
"290514","2705384","6","","9999","Quantity not specified","90000","244.0","","",""
"290510","2705384","2","","9999","1 fl oz","30000","30.5","","",""
"290509","2705384","1","","9999","1 cup","10205","244.0","","",""
"290512","2705384","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290518","2705385","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290520","2705385","6","","9999","Quantity not specified","90000","244.0","","",""
"290519","2705385","5","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290517","2705385","3","","9999","1 individual school container","64294","244.0","","",""
"290515","2705385","1","","9999","1 cup","10205","244.0","","",""
"290516","2705385","2","","9999","1 fl oz","30000","30.5","","",""
"290523","2705386","3","","9999","1 individual school container","64294","244.0","","",""
"290521","2705386","1","","9999","1 cup","10205","244.0","","",""
"290522","2705386","2","","9999","1 fl oz","30000","30.5","","",""
"290525","2705386","5","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290526","2705386","6","","9999","Quantity not specified","90000","244.0","","",""
"290524","2705386","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290529","2705387","3","","9999","1 individual school container","64294","244.0","","",""
"290531","2705387","5","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290527","2705387","1","","9999","1 cup","10205","244.0","","",""
"290532","2705387","6","","9999","Quantity not specified","90000","244.0","","",""
"290528","2705387","2","","9999","1 fl oz","30000","30.5","","",""
"290530","2705387","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290535","2705388","3","","9999","1 individual school container","64294","244.0","","",""
"290537","2705388","5","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290536","2705388","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290534","2705388","2","","9999","1 fl oz","30000","30.5","","",""
"290533","2705388","1","","9999","1 cup","10205","244.0","","",""
"290538","2705388","6","","9999","Quantity not specified","90000","244.0","","",""
"290542","2705389","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290539","2705389","1","","9999","1 cup","10205","244.0","","",""
"290543","2705389","5","","9999","Quantity not specified","90000","244.0","","",""
"290541","2705389","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290540","2705389","2","","9999","1 fl oz","30000","30.5","","",""
"290546","2705390","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290547","2705390","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290545","2705390","2","","9999","1 fl oz","30000","30.5","","",""
"290544","2705390","1","","9999","1 cup","10205","244.0","","",""
"290548","2705390","5","","9999","Quantity not specified","90000","244.0","","",""
"290549","2705391","1","","9999","1 cup","10205","244.0","","",""
"290551","2705391","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290553","2705391","5","","9999","Quantity not specified","90000","244.0","","",""
"290552","2705391","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290550","2705391","2","","9999","1 fl oz","30000","30.5","","",""
"290558","2705392","5","","9999","Quantity not specified","90000","244.0","","",""
"290557","2705392","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290556","2705392","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290554","2705392","1","","9999","1 cup","10205","244.0","","",""
"290555","2705392","2","","9999","1 fl oz","30000","30.5","","",""
"290559","2705393","1","","9999","1 cup","10205","244.0","","",""
"290560","2705393","2","","9999","1 fl oz","30000","30.5","","",""
"290561","2705393","3","","9999","Quantity not specified","90000","244.0","","",""
"290563","2705394","2","","9999","1 fl oz","30000","30.5","","",""
"290564","2705394","3","","9999","Quantity not specified","90000","244.0","","",""
"290562","2705394","1","","9999","1 cup","10205","244.0","","",""
"290569","2705395","5","","9999","Quantity not specified","90000","244.0","","",""
"290566","2705395","2","","9999","1 fl oz","30000","30.5","","",""
"290567","2705395","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290565","2705395","1","","9999","1 cup","10205","244.0","","",""
"290568","2705395","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290573","2705396","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290574","2705396","5","","9999","Quantity not specified","90000","244.0","","",""
"290570","2705396","1","","9999","1 cup","10205","244.0","","",""
"290572","2705396","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290571","2705396","2","","9999","1 fl oz","30000","30.5","","",""
"290578","2705397","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290576","2705397","2","","9999","1 fl oz","30000","30.5","","",""
"290575","2705397","1","","9999","1 cup","10205","244.0","","",""
"290579","2705397","5","","9999","Quantity not specified","90000","244.0","","",""
"290577","2705397","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290581","2705398","2","","9999","1 fl oz","30000","31.5","","",""
"290582","2705398","3","","9999","Guideline amount per fl oz of beverage","63480","2.6","","",""
"290584","2705398","5","","9999","Quantity not specified","90000","16.0","","",""
"290583","2705398","4","","9999","Guideline amount per cup of hot cereal","63546","63.0","","",""
"290580","2705398","1","","9999","1 cup","10205","252.0","","",""
"290586","2705399","2","","9999","1 fl oz","30000","31.5","","",""
"290588","2705399","4","","9999","Guideline amount per cup of hot cereal","63546","63.0","","",""
"290589","2705399","5","","9999","Quantity not specified","90000","16.0","","",""
"290585","2705399","1","","9999","1 cup","10205","252.0","","",""
"290587","2705399","3","","9999","Guideline amount per fl oz of beverage","63480","2.6","","",""
"290591","2705400","2","","9999","1 fl oz","30000","31.5","","",""
"290593","2705400","4","","9999","Quantity not specified","90000","16.0","","",""
"290592","2705400","3","","9999","Guideline amount per cup of hot cereal","63546","63.0","","",""
"290590","2705400","1","","9999","1 cup","10205","252.0","","",""
"290595","2705401","2","","9999","1 fl oz","30000","31.5","","",""
"290598","2705401","5","","9999","Quantity not specified","90000","16.0","","",""
"290597","2705401","4","","9999","Guideline amount per cup of hot cereal","63546","63.0","","",""
"290594","2705401","1","","9999","1 cup","10205","252.0","","",""
"290596","2705401","3","","9999","Guideline amount per fl oz of beverage","63480","2.6","","",""
"290599","2705402","1","","9999","1 cup","10205","304.0","","",""
"290600","2705402","2","","9999","1 fl oz","30000","38.0","","",""
"290601","2705402","3","","9999","Quantity not specified","90000","19.0","","",""
"290603","2705403","2","","9999","1 fl oz","30000","30.5","","",""
"290606","2705403","5","","9999","Quantity not specified","90000","244.0","","",""
"290605","2705403","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290602","2705403","1","","9999","1 cup","10205","244.0","","",""
"290604","2705403","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290609","2705404","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290607","2705404","1","","9999","1 cup","10205","244.0","","",""
"290611","2705404","5","","9999","Quantity not specified","90000","244.0","","",""
"290610","2705404","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290608","2705404","2","","9999","1 fl oz","30000","30.5","","",""
"290614","2705405","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290615","2705405","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290616","2705405","5","","9999","Quantity not specified","90000","244.0","","",""
"290612","2705405","1","","9999","1 cup","10205","244.0","","",""
"290613","2705405","2","","9999","1 fl oz","30000","30.5","","",""
"290618","2705406","2","","9999","1 fl oz","30000","30.5","","",""
"290617","2705406","1","","9999","1 cup","10205","244.0","","",""
"290619","2705406","3","","9999","Quantity not specified","90000","244.0","","",""
"290620","2705407","1","","9999","1 cup","10205","244.0","","",""
"290622","2705407","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290621","2705407","2","","9999","1 fl oz","30000","30.5","","",""
"290624","2705407","5","","9999","Quantity not specified","90000","244.0","","",""
"290623","2705407","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290625","2705408","1","","9999","1 cup","10205","244.0","","",""
"290627","2705408","3","","9999","Quantity not specified","90000","244.0","","",""
"290626","2705408","2","","9999","1 fl oz","30000","30.5","","",""
"290631","2705409","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290632","2705409","5","","9999","Quantity not specified","90000","244.0","","",""
"290628","2705409","1","","9999","1 cup","10205","244.0","","",""
"290630","2705409","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290629","2705409","2","","9999","1 fl oz","30000","30.5","","",""
"290635","2705410","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290637","2705410","5","","9999","Quantity not specified","90000","244.0","","",""
"290634","2705410","2","","9999","1 fl oz","30000","30.5","","",""
"290636","2705410","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290633","2705410","1","","9999","1 cup","10205","244.0","","",""
"290638","2705411","1","","9999","1 cup","10205","244.0","","",""
"290640","2705411","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290639","2705411","2","","9999","1 fl oz","30000","30.5","","",""
"290641","2705411","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290642","2705411","5","","9999","Quantity not specified","90000","244.0","","",""
"290647","2705412","5","","9999","Quantity not specified","90000","244.0","","",""
"290646","2705412","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290643","2705412","1","","9999","1 cup","10205","244.0","","",""
"290645","2705412","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290644","2705412","2","","9999","1 fl oz","30000","30.5","","",""
"290650","2705413","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"290652","2705413","5","","9999","Quantity not specified","90000","244.0","","",""
"290648","2705413","1","","9999","1 cup","10205","244.0","","",""
"290649","2705413","2","","9999","1 fl oz","30000","30.5","","",""
"290651","2705413","4","","9999","Guideline amount per cup of hot cereal","63546","61.0","","",""
"290657","2705414","5","","9999","Quantity not specified","90000","170.0","","",""
"290653","2705414","1","","9999","1 4 oz container","64638","113.0","","",""
"290655","2705414","3","","9999","1 container, NFS","60598","170.0","","",""
"290654","2705414","2","","9999","1 6 oz container","60039","170.0","","",""
"290656","2705414","4","","9999","1 cup","10205","245.0","","",""
"290662","2705415","5","","9999","Quantity not specified","90000","150.0","","",""
"290661","2705415","4","","9999","1 cup","10205","245.0","","",""
"290658","2705415","1","","9999","1 5.3 oz container","64562","150.0","","",""
"290659","2705415","2","","9999","1 6 oz container","60039","170.0","","",""
"290660","2705415","3","","9999","1 container, NFS","60598","150.0","","",""
"290666","2705416","4","","9999","1 cup","10205","245.0","","",""
"290665","2705416","3","","9999","1 container, NFS","60598","170.0","","",""
"290667","2705416","5","","9999","Quantity not specified","90000","170.0","","",""
