"id","description","last_updated"
"2705383","Milk, human","2024-10-31"
"2705384","Milk, NFS","2024-10-31"
"2705385","Milk, whole","2024-10-31"
"2705386","Milk, reduced fat (2%)","2024-10-31"
"2705387","Milk, low fat (1%)","2024-10-31"
"2705388","Milk, fat free (skim)","2024-10-31"
"2705389","Milk, lactose free, low fat (1%)","2024-10-31"
"2705390","Milk, lactose free, fat free (skim)","2024-10-31"
"2705391","Milk, lactose free, reduced fat (2%)","2024-10-31"
"2705392","Milk, lactose free, whole","2024-10-31"
"2705393","Buttermilk","2024-10-31"
"2705394","Kefir","2024-10-31"
"2705395","Goat milk","2024-10-31"
"2705396","Milk, dry, reconstituted, nonfat","2024-10-31"
"2705397","Milk, dry, reconstituted, whole","2024-10-31"
"2705398","Milk, evaporated, NS as to fat content","2024-10-31"
"2705399","Milk, evaporated, whole","2024-10-31"
"2705400","Milk, evaporated, reduced fat (2%)","2024-10-31"
"2705401","Milk, evaporated, fat free (skim)","2024-10-31"
"2705402","Milk, condensed, sweetened","2024-10-31"
"2705403","Non-dairy milk, NFS","2024-10-31"
"2705404","Soy milk, sweetened","2024-10-31"
"2705405","Soy milk, unsweetened","2024-10-31"
"2705406","Soy milk, chocolate","2024-10-31"
"2705407","Almond milk, sweetened","2024-10-31"
"2705408","Almond milk, chocolate","2024-10-31"
"2705409","Almond milk, unsweetened","2024-10-31"
"2705410","Almond milk, NFS","2024-10-31"
"2705411","Rice milk","2024-10-31"
"2705412","Oat milk","2024-10-31"
"2705413","Coconut milk","2024-10-31"
"2705414","Yogurt, NFS","2024-10-31"
"2705415","Yogurt, Greek, NS as to type of milk or flavor","2024-10-31"
"2705416","Yogurt, NS as to type of milk or flavor","2024-10-31"
"2705417","Yogurt, NS as to type of milk, plain","2024-10-31"
"2705418","Yogurt, whole milk, plain","2024-10-31"
"2705419","Yogurt, low fat milk, plain","2024-10-31"
"2705420","Yogurt, nonfat milk, plain","2024-10-31"
"2705421","Yogurt, Greek, NS as to type of milk, plain","2024-10-31"
"2705422","Yogurt, Greek, whole milk, plain","2024-10-31"
"2705423","Yogurt, Greek, low fat milk, plain","2024-10-31"
"2705424","Yogurt, Greek, nonfat milk, plain","2024-10-31"
"2705425","Yogurt, NS as to type of milk, fruit","2024-10-31"
"2705426","Yogurt, whole milk, fruit","2024-10-31"
"2705427","Yogurt, low fat milk, fruit","2024-10-31"
"2705428","Yogurt, nonfat milk, fruit","2024-10-31"
"2705429","Yogurt, Greek, NS as to type of milk, fruit","2024-10-31"
"2705430","Yogurt, Greek, whole milk, fruit","2024-10-31"
"2705431","Yogurt, Greek, low fat milk, fruit","2024-10-31"
"2705432","Yogurt, Greek, nonfat milk, fruit","2024-10-31"
"2705433","Yogurt, NS as to type of milk, flavors other than fruit","2024-10-31"
"2705434","Yogurt, whole milk, flavors other than fruit","2024-10-31"
"2705435","Yogurt, low fat milk, flavors other than fruit","2024-10-31"
"2705436","Yogurt, nonfat milk, flavors other than fruit","2024-10-31"
"2705437","Yogurt, Greek, NS as to type of milk, flavors other than fruit","2024-10-31"
"2705438","Yogurt, Greek, whole milk, flavors other than fruit","2024-10-31"
"2705439","Yogurt, Greek, low fat milk, flavors other than fruit","2024-10-31"
"2705440","Yogurt, Greek, nonfat milk, flavors other than fruit","2024-10-31"
"2705441","Yogurt, Greek, with oats","2024-10-31"
"2705442","Yogurt, liquid","2024-10-31"
"2705443","Yogurt tube","2024-10-31"
"2705444","Chipotle dip, yogurt based","2024-10-31"
"2705445","Onion dip, yogurt based","2024-10-31"
"2705446","Ranch dip, yogurt based","2024-10-31"
"2705447","Spinach dip, yogurt based","2024-10-31"
"2705448","Tzatziki dip","2024-10-31"
"2705449","Vegetable dip, yogurt based","2024-10-31"
"2705450","Yogurt parfait, with fruit","2024-10-31"
"2705451","Frozen yogurt, NFS","2024-10-31"
"2705452","Frozen yogurt, vanilla","2024-10-31"
"2705453","Frozen yogurt, chocolate","2024-10-31"
"2705454","Frozen yogurt, soft serve, vanilla","2024-10-31"
"2705455","Frozen yogurt, soft serve, chocolate","2024-10-31"
"2705456","Frozen yogurt sandwich","2024-10-31"
"2705457","Frozen yogurt bar, vanilla","2024-10-31"
"2705458","Frozen yogurt bar, chocolate","2024-10-31"
"2705459","Frozen yogurt cone, chocolate","2024-10-31"
"2705460","Frozen yogurt cone, vanilla","2024-10-31"
"2705461","Frozen yogurt cone, vanilla, waffle cone","2024-10-31"
"2705462","Frozen yogurt cone, chocolate, waffle cone","2024-10-31"
"2705463","Baby Toddler food, NFS","2024-10-31"
"2705464","Baby Toddler yogurt, plain","2024-10-31"
"2705465","Baby Toddler yogurt, with fruit","2024-10-31"
"2705466","Chocolate milk, NFS","2024-10-31"
"2705467","Chocolate milk, whole","2024-10-31"
"2705468","Chocolate milk, reduced fat (2%)","2024-10-31"
"2705469","Chocolate milk, fat free (skim)","2024-10-31"
"2705470","Chocolate milk, low fat (1%)","2024-10-31"
"2705471","Chocolate milk, reduced sugar, NFS","2024-10-31"
"2705472","Hot chocolate / cocoa, NFS","2024-10-31"
"2705473","Hot chocolate / cocoa, made with whole or reduced fat (2%) milk","2024-10-31"
"2705474","Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk","2024-10-31"
"2705475","Hot chocolate / cocoa, made with non-dairy milk","2024-10-31"
"2705476","Hot chocolate / cocoa, with whipped cream","2024-10-31"
"2705477","Chocolate milk, Nesquik, NS as to type of milk","2024-10-31"
"2705478","Chocolate milk, Nesquik, made with non-dairy milk","2024-10-31"
"2705479","Chocolate milk, reduced sugar, whole","2024-10-31"
"2705480","Chocolate milk, reduced sugar, reduced fat (2%)","2024-10-31"
"2705481","Chocolate milk, reduced sugar, low fat (1%)","2024-10-31"
"2705482","Chocolate milk, reduced sugar, fat free (skim)","2024-10-31"
"2705483","Hot chocolate / cocoa, dry mix, made with water","2024-10-31"
"2705484","Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk","2024-10-31"
"2705485","Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk","2024-10-31"
"2705486","Hot chocolate / cocoa, dry mix , made with non-dairy milk","2024-10-31"
"2705487","Hot chocolate / cocoa, dry mix, made with water, with whipped cream","2024-10-31"
"2705488","Hot chocolate / cocoa, dry mix, reduced sugar, made with water","2024-10-31"
"2705489","Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk","2024-10-31"
"2705490","Hot chocolate / cocoa, reduced sugar, made with non-dairy milk","2024-10-31"
"2705491","Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk","2024-10-31"
"2705492","Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk","2024-10-31"
"2705493","Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk","2024-10-31"
"2705494","Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk","2024-10-31"
"2705495","Strawberry milk, NFS","2024-10-31"
"2705496","Strawberry milk, whole","2024-10-31"
"2705497","Strawberry milk, reduced fat (2%)","2024-10-31"
"2705498","Strawberry milk, low fat (1%)","2024-10-31"
"2705499","Strawberry milk, fat free  (skim)","2024-10-31"
"2705500","Strawberry milk, reduced sugar","2024-10-31"
"2705501","Milk, malted","2024-10-31"
"2705502","Eggnog","2024-10-31"
"2705503","Milk shake, home recipe, chocolate","2024-10-31"
"2705504","Milk shake, home recipe, flavors other than chocolate","2024-10-31"
"2705505","Milk shake, home recipe, chocolate, light","2024-10-31"
"2705506","Milk shake, home recipe, flavors other than chocolate, light","2024-10-31"
"2705507","Milk shake with malt","2024-10-31"
"2705508","Milk shake, fast food, chocolate","2024-10-31"
"2705509","Milk shake, fast food, flavors other than chocolate","2024-10-31"
"2705510","Milk shake, bottled, chocolate","2024-10-31"
"2705511","Milk shake, bottled, flavors other than chocolate","2024-10-31"
"2705512","Licuado or Batido","2024-10-31"
"2705513","Fruit smoothie, NFS","2024-10-31"
"2705514","Fruit smoothie, with whole fruit and dairy","2024-10-31"
"2705515","Fruit smoothie, with whole fruit and dairy, added protein","2024-10-31"
"2705516","Fruit smoothie juice drink, with dairy","2024-10-31"
"2705517","Chocolate milk drink","2024-10-31"
"2705518","Infant formula, NFS","2024-10-31"
"2705519","Infant formula, Similac, NFS","2024-10-31"
"2705520","Infant formula, Similac Alimentum, ready-to-feed","2024-10-31"
"2705521","Infant formula, Similac Alimentum, powder, made with water","2024-10-31"
"2705522","Infant formula, Similac Advance, ready-to-feed","2024-10-31"
"2705523","Infant formula, Similac Advance, powder, made with tap water","2024-10-31"
"2705524","Infant formula, Similac Advance, powder, made with bottled water","2024-10-31"
"2705525","Infant formula, Similac Advance, powder, made with baby water","2024-10-31"
"2705526","Infant formula, Similac Sensitive, ready-to-feed","2024-10-31"
"2705527","Infant formula, Similac Sensitive, powder, made with tap water","2024-10-31"
"2705528","Infant formula, Similac Sensitive, powder, made with bottled water","2024-10-31"
"2705529","Infant formula, Similac Sensitive, powder, made with baby water","2024-10-31"
"2705530","Infant formula, Similac for Spit-Up, ready-to-feed","2024-10-31"
"2705531","Infant formula, Similac for Spit-Up, powder, made with water","2024-10-31"
"2705532","Toddler formula, Similac Go and Grow","2024-10-31"
"2705533","Infant formula, Enfamil, NFS","2024-10-31"
"2705534","Infant formula, Enfamil Infant, ready-to-feed","2024-10-31"
"2705535","Infant formula, Enfamil Infant, powder, made with tap water","2024-10-31"
"2705536","Infant formula, Enfamil Infant, powder, made with bottled water","2024-10-31"
"2705537","Infant formula, Enfamil Infant, powder, made with baby water","2024-10-31"
"2705538","Infant formula, Enfamil AR, ready-to-feed","2024-10-31"
"2705539","Infant formula, Enfamil AR, powder, made with water","2024-10-31"
"2705540","Infant formula, Enfamil Gentlease, ready-to-feed","2024-10-31"
"2705541","Infant formula, Enfamil Gentlease, powder, made with tap water","2024-10-31"
"2705542","Infant formula, Enfamil Gentlease, powder, made with bottled water","2024-10-31"
"2705543","Infant formula, Enfamil Gentlease, powder, made with baby water","2024-10-31"
"2705544","Toddler formula, Enfamil Enfagrow","2024-10-31"
"2705545","Toddler formula, PediaSure","2024-10-31"
"2705546","Toddler formula, Nido Kinder","2024-10-31"
"2705547","Toddler formula, store brand, beginning or next stage","2024-10-31"
"2705548","Toddler formula, store brand, pediatric shake","2024-10-31"
"2705549","Infant formula, Gerber, NFS","2024-10-31"
"2705550","Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed","2024-10-31"
"2705551","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water","2024-10-31"
"2705552","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water","2024-10-31"
"2705553","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water","2024-10-31"
"2705554","Infant formula, Gerber Good Start Gentle, Stage 2","2024-10-31"
"2705555","Toddler formula, Gerber Good Start, Stage 3","2024-10-31"
"2705556","Infant formula, premature, powder, made with water","2024-10-31"
"2705557","Infant formula, premature, ready-to-feed","2024-10-31"
"2705558","Infant formula, organic, powder, made with water","2024-10-31"
"2705559","Infant formula, organic, ready-to-feed","2024-10-31"
"2705560","Infant formula, store brand, advantage or tender, powder, made with tap water","2024-10-31"
"2705561","Infant formula, store brand, advantage or tender, powder, made with bottled water","2024-10-31"
"2705562","Infant formula, store brand, advantage or tender, powder, made with baby water","2024-10-31"
"2705563","Infant formula, store brand, gentle or sensitivity","2024-10-31"
"2705564","Infant formula, store brand, added rice","2024-10-31"
"2705565","Infant formula, Enfamil ProSobee, ready-to-feed","2024-10-31"
"2705566","Infant formula, Enfamil ProSobee, powder, made with tap water","2024-10-31"
"2705567","Infant formula, Enfamil ProSobee, powder, made with bottled water","2024-10-31"
"2705568","Infant formula, Enfamil ProSobee, powder, made with baby water","2024-10-31"
"2705569","Infant formula, Similac Isomil Soy, ready-to-feed","2024-10-31"
"2705570","Infant formula, Similac Isomil Soy, powder, made with tap water","2024-10-31"
"2705571","Infant formula, Similac Isomil Soy, powder, made with bottled water","2024-10-31"
"2705572","Infant formula, Similac Isomil Soy, powder, made with baby water","2024-10-31"
"2705573","Infant formula, Similac for Diarrhea","2024-10-31"
"2705574","Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed","2024-10-31"
"2705575","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water","2024-10-31"
"2705576","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water","2024-10-31"
"2705577","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water","2024-10-31"
"2705578","Infant formula, store brand, soy","2024-10-31"
"2705579","Infant formula, Enfamil Nutramigen, ready-to-feed","2024-10-31"
"2705580","Infant formula, Enfamil Nutramigen, powder, made with water","2024-10-31"
"2705581","Infant formula, Enfamil Pregestimil, ready-to-feed","2024-10-31"
"2705582","Infant formula, Enfamil Pregestimil, powder, made with water","2024-10-31"
"2705583","Infant formula, amino acids","2024-10-31"
"2705584","Infant formula, low iron","2024-10-31"
"2705585","Milk, dry, not reconstituted","2024-10-31"
