"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code"
"124268","2705384","","1","40.0","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","40.0","0"
"124271","2705384","","4","8.0","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","8.0","0"
"124270","2705384","","3","14.0","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","14.0","0"
"124269","2705384","","2","38.0","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","38.0","0"
"124272","2705385","","1","100.0","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","100.0","0"
"124273","2705386","","1","100.0","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0"
"124274","2705387","","1","100.0","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0"
"124275","2705388","","1","100.0","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","100.0","0"
"124276","2705389","","1","100.0","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0"
"124277","2705390","","1","100.0","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","100.0","0"
"124278","2705391","","1","100.0","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0"
"124279","2705392","","1","100.0","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","100.0","0"
"124280","2705393","","1","100.0","1088","Buttermilk, low fat","GM","0","NONE","100.0","0"
"124282","2705394","","2","50.0","1290","Kefir, lowfat, strawberry, LIFEWAY","GM","0","NONE","50.0","0"
"124281","2705394","","1","50.0","1289","Kefir, lowfat, plain, LIFEWAY","GM","0","NONE","50.0","0"
"124283","2705395","","1","100.0","1106","Milk, goat, fluid, with added vitamin D","GM","0","NONE","100.0","0"
"124284","2705396","","1","23.0","1154","Milk, dry, nonfat, regular, with added vitamin A and vitamin D","GM","0","NONE","23.0","0"
"124285","2705396","","2","1.0","14411","Beverages, water, tap, drinking","C","10205","1 cup","237.0","0"
"124286","2705397","","1","42.662","1090","Milk, dry, whole, with added vitamin D","GM","0","NONE","42.662","0"
"124287","2705397","","2","1.0","14411","Beverages, water, tap, drinking","C","10205","1 cup","237.0","0"
"124288","2705398","","1","100.0","1096","Milk, canned, evaporated, with added vitamin D and without added vitamin A","GM","0","NONE","100.0","0"
"124289","2705399","","1","100.0","1096","Milk, canned, evaporated, with added vitamin D and without added vitamin A","GM","0","NONE","100.0","0"
"124290","2705400","","1","100.0","1097","Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0"
"124291","2705400","","2","1.8","1003","Butter oil, anhydrous","GM","0","NONE","1.8","0"
"124292","2705401","","1","100.0","1097","Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0"
"124293","2705402","","1","100.0","1095","Milk, canned, condensed, sweetened","GM","0","NONE","100.0","0"
"124295","2705403","","2","20.0","11360200","Oat milk","GM","0","NONE","20.0","0"
"124296","2705403","","3","20.0","11320000","Soy milk, sweetened","GM","0","NONE","20.0","0"
"124294","2705403","","1","60.0","11350040","Almond milk, NFS","GM","0","NONE","60.0","0"
"124297","2705404","","1","96.0","16222","Soy milk, unsweetened, plain, shelf stable","GM","0","NONE","96.0","0"
"124298","2705404","","2","4.0","19335","Sugars, granulated","GM","0","NONE","4.0","0"
"124299","2705405","","1","100.0","16222","Soy milk, unsweetened, plain, shelf stable","GM","0","NONE","100.0","0"
"124300","2705406","","1","93.0","16222","Soy milk, unsweetened, plain, shelf stable","GM","0","NONE","93.0","0"
"124301","2705406","","2","7.0","19335","Sugars, granulated","GM","0","NONE","7.0","0"
"124302","2705406","","3","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0"
"124303","2705407","","1","96.0","14091","Almond milk, unsweetened, plain, shelf stable","GM","0","NONE","96.0","0"
"124304","2705407","","2","4.0","19335","Sugars, granulated","GM","0","NONE","4.0","0"
"124307","2705408","","3","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0"
"124305","2705408","","1","93.0","14091","Almond milk, unsweetened, plain, shelf stable","GM","0","NONE","93.0","0"
"124306","2705408","","2","7.0","19335","Sugars, granulated","GM","0","NONE","7.0","0"
