"fdc_id","food_code","wweia_category_number","start_date","end_date"
"2705383","11000000","9602","2021-01-01","2023-12-31"
"2705384","11100000","1004","2021-01-01","2023-12-31"
"2705385","11111000","1002","2021-01-01","2023-12-31"
"2705386","11112110","1004","2021-01-01","2023-12-31"
"2705387","11112210","1006","2021-01-01","2023-12-31"
"2705388","11113000","1008","2021-01-01","2023-12-31"
"2705389","11114300","1006","2021-01-01","2023-12-31"
"2705390","11114320","1008","2021-01-01","2023-12-31"
"2705391","11114330","1004","2021-01-01","2023-12-31"
"2705392","11114350","1002","2021-01-01","2023-12-31"
"2705393","11115300","1002","2021-01-01","2023-12-31"
"2705394","11115400","1006","2021-01-01","2023-12-31"
"2705395","11116000","1002","2021-01-01","2023-12-31"
"2705396","11120000","1008","2021-01-01","2023-12-31"
"2705397","11121100","1002","2021-01-01","2023-12-31"
"2705398","11210050","1002","2021-01-01","2023-12-31"
"2705399","11211050","1002","2021-01-01","2023-12-31"
"2705400","11211400","1004","2021-01-01","2023-12-31"
"2705401","11212050","1008","2021-01-01","2023-12-31"
"2705402","11220000","1202","2021-01-01","2023-12-31"
"2705403","11300100","1902","2021-01-01","2023-12-31"
"2705404","11320000","1902","2021-01-01","2023-12-31"
"2705405","11320100","1902","2021-01-01","2023-12-31"
"2705406","11321000","1902","2021-01-01","2023-12-31"
"2705407","11350000","1902","2021-01-01","2023-12-31"
"2705408","11350010","1902","2021-01-01","2023-12-31"
"2705409","11350020","1902","2021-01-01","2023-12-31"
"2705410","11350040","1902","2021-01-01","2023-12-31"
"2705411","11360000","1902","2021-01-01","2023-12-31"
"2705412","11360200","1902","2021-01-01","2023-12-31"
"2705413","11370000","1902","2021-01-01","2023-12-31"
"2705414","11400000","1820","2021-01-01","2023-12-31"
"2705415","11400010","1822","2021-01-01","2023-12-31"
"2705416","11410000","1820","2021-01-01","2023-12-31"
"2705417","11411010","1820","2021-01-01","2023-12-31"
"2705418","11411100","1820","2021-01-01","2023-12-31"
"2705419","11411200","1820","2021-01-01","2023-12-31"
"2705420","11411300","1820","2021-01-01","2023-12-31"
"2705421","11411390","1822","2021-01-01","2023-12-31"
"2705422","11411400","1822","2021-01-01","2023-12-31"
"2705423","11411410","1822","2021-01-01","2023-12-31"
"2705424","11411420","1822","2021-01-01","2023-12-31"
"2705425","11430000","1820","2021-01-01","2023-12-31"
"2705426","11431000","1820","2021-01-01","2023-12-31"
"2705427","11432000","1820","2021-01-01","2023-12-31"
"2705428","11433000","1820","2021-01-01","2023-12-31"
"2705429","11433990","1822","2021-01-01","2023-12-31"
"2705430","11434000","1822","2021-01-01","2023-12-31"
"2705431","11434010","1822","2021-01-01","2023-12-31"
"2705432","11434020","1822","2021-01-01","2023-12-31"
"2705433","11434090","1820","2021-01-01","2023-12-31"
"2705434","11434100","1820","2021-01-01","2023-12-31"
"2705435","11434200","1820","2021-01-01","2023-12-31"
"2705436","11434300","1820","2021-01-01","2023-12-31"
"2705437","11435000","1822","2021-01-01","2023-12-31"
"2705438","11435010","1822","2021-01-01","2023-12-31"
"2705439","11435020","1822","2021-01-01","2023-12-31"
"2705440","11435030","1822","2021-01-01","2023-12-31"
"2705441","11435100","1822","2021-01-01","2023-12-31"
"2705442","11436000","1820","2021-01-01","2023-12-31"
"2705443","11436100","1820","2021-01-01","2023-12-31"
"2705444","11440010","8412","2021-01-01","2023-12-31"
"2705445","11440030","8412","2021-01-01","2023-12-31"
"2705446","11440040","8412","2021-01-01","2023-12-31"
"2705447","11440050","8412","2021-01-01","2023-12-31"
"2705448","11440060","8412","2021-01-01","2023-12-31"
"2705449","11440070","8412","2021-01-01","2023-12-31"
"2705450","11446000","1820","2021-01-01","2023-12-31"
"2705451","11459990","5802","2021-01-01","2023-12-31"
"2705452","11460000","5802","2021-01-01","2023-12-31"
"2705453","11460100","5802","2021-01-01","2023-12-31"
"2705454","11460500","5802","2021-01-01","2023-12-31"
"2705455","11460510","5802","2021-01-01","2023-12-31"
"2705456","11461200","5802","2021-01-01","2023-12-31"
"2705457","11461210","5802","2021-01-01","2023-12-31"
